"unique_number","plot_no","treatment","plot_rep","matrix_no","species_code","species","sample_period","status","standing.height","height.mm","total.branch.length","biomass.g","stemdiam.mm","maxSpineLength.mm","postclipStemNo","date.clipped","date.measured","date.germinated","Age.of.plant","treatdate","Etreatdate","genus","MAR","rainclass"
172,"h2_1","2 month",1,"e4","vacexu","Vachellia_exuvialis","3 months post",1,"",65,95,NA,NA,8,2,"","15-Mar-17","11/09/2016",185,102,90,"Vachellia",631,"med"
173,"h2_1","2 month",1,"e5","vacsie","Vachellia_sieberiana","3 months post",1,"",390,670,NA,NA,19,2,"","15-Mar-17","17/09/2016",179,96,90,"Vachellia",984,"high"
174,"h2_1","2 month",1,"e6","commol","Combretum_molle","3 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","16/09/2016",180,97,90,"Combretum",850,"high"
175,"h2_1","2 month",1,"f1","vackar","Vachellia_karroo(rbay)","3 months post",1,"",165,165,NA,NA,7,1,"","15-Mar-17","16/09/2016",180,97,90,"Vachellia",693,"med"
176,"h2_1","2 month",1,"f2","vacdav","Vachellia_davyi","3 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","12/09/2016",184,101,90,"Vachellia",891,"high"
177,"h2_1","2 month",1,"f3","sennig","Senegalia_nigrescens","3 months post",1,"",95,125,NA,NA,NA,2,"","15-Mar-17","08/09/2016",188,105,90,"Senegalia",673.5,"med"
178,"h2_1","2 month",1,"f4","vacexu","Vachellia_exuvialis","3 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","11/09/2016",185,102,90,"Vachellia",631,"med"
179,"h2_1","2 month",1,"f5","sennig","Senegalia_nigrescens","3 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","08/09/2016",188,105,90,"Senegalia",673.5,"med"
181,"h2_1","2 month",1,"g1","vaceri","Vachellia_erioloba","3 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","11/09/2016",185,102,90,"Vachellia",424,"low"
182,"h2_1","2 month",1,"g2","colmop","Colophospermum_mopane","3 months post",1,"",45,45,NA,NA,NA,1,"","15-Mar-17","06/09/2016",190,107,90,"Colophospermum",478.5,"low"
183,"h2_1","2 month",1,"g3","comher","Combretum_hereroense","3 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","10/09/2016",186,103,90,"Combretum",608.5,"med"
184,"h2_1","2 month",1,"g4","vacdav","Vachellia_davyi","3 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","12/09/2016",184,101,90,"Vachellia",891,"high"
187,"h2_1","2 month",1,"h1","comcol","Combretum_collinum","3 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","16/09/2016",180,97,90,"Combretum",521,"low"
188,"h2_1","2 month",1,"h2","sennig","Senegalia_nigrescens","3 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","08/09/2016",188,105,90,"Senegalia",673.5,"med"
189,"h2_1","2 month",1,"h3","colmop","Colophospermum_mopane","3 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","06/09/2016",190,107,90,"Colophospermum",478.5,"low"
190,"h2_1","2 month",1,"h4","commol","Combretum_molle","3 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","16/09/2016",180,97,90,"Combretum",850,"high"
191,"h2_1","2 month",1,"h5","comher","Combretum_hereroense","3 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","10/09/2016",186,103,90,"Combretum",608.5,"med"
193,"h2_2","2 month",2,"a1","comcol","Combretum_collinum","3 months post",1,"",180,180,NA,NA,NA,1,"","15-Mar-17","16/09/2016",180,97,90,"Combretum",521,"low"
194,"h2_2","2 month",2,"a2","vacsie","Vachellia_sieberiana","3 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","17/09/2016",179,96,90,"Vachellia",984,"high"
195,"h2_2","2 month",2,"a3","sennig","Senegalia_nigrescens","3 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","08/09/2016",188,105,90,"Senegalia",673.5,"med"
196,"h2_2","2 month",2,"a4","comher","Combretum_hereroense","3 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","10/09/2016",186,103,90,"Combretum",608.5,"med"
197,"h2_2","2 month",2,"a5","vaceri","Vachellia_erioloba","3 months post",1,"",160,240,NA,NA,8,2,"","15-Mar-17","11/09/2016",185,102,90,"Vachellia",424,"low"
200,"h2_2","2 month",2,"b2","vackar","Vachellia_karroo(rbay)","3 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","16/09/2016",180,97,90,"Vachellia",693,"med"
201,"h2_2","2 month",2,"b3","vacexu","Vachellia_exuvialis","3 months post",1,"",170,170,NA,NA,8,1,"","15-Mar-17","11/09/2016",185,102,90,"Vachellia",631,"med"
202,"h2_2","2 month",2,"b4","comcol","Combretum_collinum","3 months post",1,"",180,320,NA,NA,NA,2,"","15-Mar-17","16/09/2016",180,97,90,"Combretum",521,"low"
204,"h2_2","2 month",2,"b6","sennig","Senegalia_nigrescens","3 months post",1,"",300,300,NA,NA,5,1,"","15-Mar-17","08/09/2016",188,105,90,"Senegalia",673.5,"med"
205,"h2_2","2 month",2,"c1","vackar","Vachellia_karroo(rbay)","3 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","16/09/2016",180,97,90,"Vachellia",693,"med"
207,"h2_2","2 month",2,"c3","vacdav","Vachellia_davyi","3 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","12/09/2016",184,101,90,"Vachellia",891,"high"
208,"h2_2","2 month",2,"c4","vaceri","Vachellia_erioloba","3 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","11/09/2016",185,102,90,"Vachellia",424,"low"
210,"h2_2","2 month",2,"c6","vacsie","Vachellia_sieberiana","3 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","17/09/2016",179,96,90,"Vachellia",984,"high"
212,"h2_2","2 month",2,"d2","vackar","Vachellia_karroo(rbay)","3 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","16/09/2016",180,97,90,"Vachellia",693,"med"
213,"h2_2","2 month",2,"d3","vacsie","Vachellia_sieberiana","3 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","17/09/2016",179,96,90,"Vachellia",984,"high"
214,"h2_2","2 month",2,"d4","vacexu","Vachellia_exuvialis","3 months post",1,"",200,470,NA,NA,10,3,"","15-Mar-17","11/09/2016",185,102,90,"Vachellia",631,"med"
215,"h2_2","2 month",2,"d5","vacdav","Vachellia_davyi","3 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","12/09/2016",184,101,90,"Vachellia",891,"high"
216,"h2_2","2 month",2,"d6","comher","Combretum_hereroense","3 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","10/09/2016",186,103,90,"Combretum",608.5,"med"
217,"h2_2","2 month",2,"e1","colmop","Colophospermum_mopane","3 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","06/09/2016",190,107,90,"Colophospermum",478.5,"low"
218,"h2_2","2 month",2,"e2","commol","Combretum_molle","3 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","16/09/2016",180,97,90,"Combretum",850,"high"
219,"h2_2","2 month",2,"e3","comcol","Combretum_collinum","3 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","16/09/2016",180,97,90,"Combretum",521,"low"
220,"h2_2","2 month",2,"e4","vackar","Vachellia_karroo(rbay)","3 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","16/09/2016",180,97,90,"Vachellia",693,"med"
221,"h2_2","2 month",2,"e5","commol","Combretum_molle","3 months post",1,"",230,230,NA,NA,NA,1,"","15-Mar-17","16/09/2016",180,97,90,"Combretum",850,"high"
222,"h2_2","2 month",2,"e6","vacsie","Vachellia_sieberiana","3 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","17/09/2016",179,96,90,"Vachellia",984,"high"
223,"h2_2","2 month",2,"f1","comher","Combretum_hereroense","3 months post",1,"",110,110,NA,NA,NA,1,"","15-Mar-17","10/09/2016",186,103,90,"Combretum",608.5,"med"
224,"h2_2","2 month",2,"f2","vacexu","Vachellia_exuvialis","3 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","11/09/2016",185,102,90,"Vachellia",631,"med"
225,"h2_2","2 month",2,"f3","vacdav","Vachellia_davyi","3 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","12/09/2016",184,101,90,"Vachellia",891,"high"
226,"h2_2","2 month",2,"f4","vaceri","Vachellia_erioloba","3 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","11/09/2016",185,102,90,"Vachellia",424,"low"
227,"h2_2","2 month",2,"f5","comcol","Combretum_collinum","3 months post",1,"",160,160,NA,NA,NA,1,"","15-Mar-17","16/09/2016",180,97,90,"Combretum",521,"low"
229,"h2_2","2 month",2,"g1","vacdav","Vachellia_davyi","3 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","12/09/2016",184,101,90,"Vachellia",891,"high"
231,"h2_2","2 month",2,"g3","sennig","Senegalia_nigrescens","3 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","08/09/2016",188,105,90,"Senegalia",673.5,"med"
232,"h2_2","2 month",2,"g4","vacexu","Vachellia_exuvialis","3 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","11/09/2016",185,102,90,"Vachellia",631,"med"
233,"h2_2","2 month",2,"g5","colmop","Colophospermum_mopane","3 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","06/09/2016",190,107,90,"Colophospermum",478.5,"low"
234,"h2_2","2 month",2,"g6","vaceri","Vachellia_erioloba","3 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","11/09/2016",185,102,90,"Vachellia",424,"low"
236,"h2_2","2 month",2,"h2","colmop","Colophospermum_mopane","3 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","06/09/2016",190,107,90,"Colophospermum",478.5,"low"
237,"h2_2","2 month",2,"h3","comher","Combretum_hereroense","3 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","10/09/2016",186,103,90,"Combretum",608.5,"med"
238,"h2_2","2 month",2,"h4","colmop","Colophospermum_mopane","3 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","06/09/2016",190,107,90,"Colophospermum",478.5,"low"
240,"h2_2","2 month",2,"h6","sennig","Senegalia_nigrescens","3 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","08/09/2016",188,105,90,"Senegalia",673.5,"med"
241,"h2_3","2 month",3,"a1","sennig","Senegalia_nigrescens","3 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","08/09/2016",188,105,90,"Senegalia",673.5,"med"
242,"h2_3","2 month",3,"a2","colmop","Colophospermum_mopane","3 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","06/09/2016",190,107,90,"Colophospermum",478.5,"low"
243,"h2_3","2 month",3,"a3","vacdav","Vachellia_davyi","3 months post",1,"",200,350,NA,NA,11,2,"","15-Mar-17","12/09/2016",184,101,90,"Vachellia",891,"high"
244,"h2_3","2 month",3,"a4","comcol","Combretum_collinum","3 months post",1,"",200,200,NA,NA,6,1,"","15-Mar-17","16/09/2016",180,97,90,"Combretum",521,"low"
245,"h2_3","2 month",3,"a5","comher","Combretum_hereroense","3 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","10/09/2016",186,103,90,"Combretum",608.5,"med"
246,"h2_3","2 month",3,"a6","vacexu","Vachellia_exuvialis","3 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","11/09/2016",185,102,90,"Vachellia",631,"med"
247,"h2_3","2 month",3,"b1","commol","Combretum_molle","3 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","16/09/2016",180,97,90,"Combretum",850,"high"
248,"h2_3","2 month",3,"b2","vackar","Vachellia_karroo(rbay)","3 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","16/09/2016",180,97,90,"Vachellia",693,"med"
249,"h2_3","2 month",3,"b3","comapi","Combretum_apiculatum","3 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","12/09/2016",184,101,90,"Combretum",618,"med"
250,"h2_3","2 month",3,"b4","vacsie","Vachellia_sieberiana","3 months post",1,"",120,120,NA,NA,NA,1,"","15-Mar-17","17/09/2016",179,96,90,"Vachellia",984,"high"
251,"h2_3","2 month",3,"b5","vaceri","Vachellia_erioloba","3 months post",1,"",300,300,NA,NA,11,1,"","15-Mar-17","11/09/2016",185,102,90,"Vachellia",424,"low"
253,"h2_3","2 month",3,"c1","vacexu","Vachellia_exuvialis","3 months post",1,"",80,140,NA,NA,5,2,"","15-Mar-17","11/09/2016",185,102,90,"Vachellia",631,"med"
255,"h2_3","2 month",3,"c3","sennig","Senegalia_nigrescens","3 months post",1,"",250,250,NA,NA,4,1,"","15-Mar-17","08/09/2016",188,105,90,"Senegalia",673.5,"med"
256,"h2_3","2 month",3,"c4","vacsie","Vachellia_sieberiana","3 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","17/09/2016",179,96,90,"Vachellia",984,"high"
257,"h2_3","2 month",3,"c5","comapi","Combretum_apiculatum","3 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","12/09/2016",184,101,90,"Combretum",618,"med"
258,"h2_3","2 month",3,"c6","vackar","Vachellia_karroo(rbay)","3 months post",1,"",150,150,NA,NA,NA,1,"","15-Mar-17","16/09/2016",180,97,90,"Vachellia",693,"med"
259,"h2_3","2 month",3,"d1","vacdav","Vachellia_davyi","3 months post",1,"",60,60,NA,NA,NA,1,"","15-Mar-17","12/09/2016",184,101,90,"Vachellia",891,"high"
260,"h2_3","2 month",3,"d2","comher","Combretum_hereroense","3 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","10/09/2016",186,103,90,"Combretum",608.5,"med"
261,"h2_3","2 month",3,"d3","comcol","Combretum_collinum","3 months post",1,"",90,90,NA,NA,NA,1,"","15-Mar-17","16/09/2016",180,97,90,"Combretum",521,"low"
262,"h2_3","2 month",3,"d4","vaceri","Vachellia_erioloba","3 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","11/09/2016",185,102,90,"Vachellia",424,"low"
263,"h2_3","2 month",3,"d5","comcol","Combretum_collinum","3 months post",1,"",90,90,NA,NA,NA,1,"","15-Mar-17","16/09/2016",180,97,90,"Combretum",521,"low"
264,"h2_3","2 month",3,"d6","colmop","Colophospermum_mopane","3 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","06/09/2016",190,107,90,"Colophospermum",478.5,"low"
267,"h2_3","2 month",3,"e3","vacsie","Vachellia_sieberiana","3 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","17/09/2016",179,96,90,"Vachellia",984,"high"
269,"h2_3","2 month",3,"e5","vacsie","Vachellia_sieberiana","3 months post",1,"",170,670,NA,NA,11,4,"","15-Mar-17","17/09/2016",179,96,90,"Vachellia",984,"high"
270,"h2_3","2 month",3,"e6","comcol","Combretum_collinum","3 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","16/09/2016",180,97,90,"Combretum",521,"low"
271,"h2_3","2 month",3,"f1","colmop","Colophospermum_mopane","3 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","06/09/2016",190,107,90,"Colophospermum",478.5,"low"
273,"h2_3","2 month",3,"f3","vacdav","Vachellia_davyi","3 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","12/09/2016",184,101,90,"Vachellia",891,"high"
274,"h2_3","2 month",3,"f4","comher","Combretum_hereroense","3 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","10/09/2016",186,103,90,"Combretum",608.5,"med"
275,"h2_3","2 month",3,"f5","commol","Combretum_molle","3 months post",1,"",80,80,NA,NA,NA,1,"","15-Mar-17","16/09/2016",180,97,90,"Combretum",850,"high"
276,"h2_3","2 month",3,"f6","sennig","Senegalia_nigrescens","3 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","08/09/2016",188,105,90,"Senegalia",673.5,"med"
278,"h2_3","2 month",3,"g2","vacexu","Vachellia_exuvialis","3 months post",1,"",100,130,NA,NA,3,2,"","15-Mar-17","11/09/2016",185,102,90,"Vachellia",631,"med"
280,"h2_3","2 month",3,"g4","vaceri","Vachellia_erioloba","3 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","11/09/2016",185,102,90,"Vachellia",424,"low"
281,"h2_3","2 month",3,"g5","vacdav","Vachellia_davyi","3 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","12/09/2016",184,101,90,"Vachellia",891,"high"
282,"h2_3","2 month",3,"g6","comher","Combretum_hereroense","3 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","10/09/2016",186,103,90,"Combretum",608.5,"med"
283,"h2_3","2 month",3,"h1","vaceri","Vachellia_erioloba","3 months post",1,"",50,50,NA,NA,NA,1,"","15-Mar-17","11/09/2016",185,102,90,"Vachellia",424,"low"
284,"h2_3","2 month",3,"h2","sennig","Senegalia_nigrescens","3 months post",1,"",70,90,NA,NA,2,2,"","15-Mar-17","08/09/2016",188,105,90,"Senegalia",673.5,"med"
285,"h2_3","2 month",3,"h3","vackar","Vachellia_karroo(rbay)","3 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","16/09/2016",180,97,90,"Vachellia",693,"med"
286,"h2_3","2 month",3,"h4","colmop","Colophospermum_mopane","3 months post",1,"",150,150,NA,NA,NA,1,"","15-Mar-17","06/09/2016",190,107,90,"Colophospermum",478.5,"low"
287,"h2_3","2 month",3,"h5","vackar","Vachellia_karroo(rbay)","3 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","16/09/2016",180,97,90,"Vachellia",693,"med"
288,"h2_3","2 month",3,"h6","vacexu","Vachellia_exuvialis","3 months post",1,"",160,160,NA,NA,NA,1,"","15-Mar-17","11/09/2016",185,102,90,"Vachellia",631,"med"
289,"h3_1","3 month",1,"a1","commol","Combretum_molle","2 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","16/09/2016",180,125,120,"Combretum",850,"high"
290,"h3_1","3 month",1,"a2","colmop","Colophospermum_mopane","2 months post",1,"",150,150,NA,NA,NA,1,"","15-Mar-17","06/09/2016",190,135,120,"Colophospermum",478.5,"low"
292,"h3_1","3 month",1,"a4","vacdav","Vachellia_davyi","2 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","12/09/2016",184,129,120,"Vachellia",891,"high"
293,"h3_1","3 month",1,"a5","vaceri","Vachellia_erioloba","2 months post",1,"",150,425,NA,NA,5,3,"","15-Mar-17","11/09/2016",185,130,120,"Vachellia",424,"low"
294,"h3_1","3 month",1,"a6","vacsie","Vachellia_sieberiana","2 months post",1,"",370,370,NA,NA,15,1,"","15-Mar-17","17/09/2016",179,124,120,"Vachellia",984,"high"
295,"h3_1","3 month",1,"b1","vaceri","Vachellia_erioloba","2 months post",1,"",50,50,NA,NA,6,1,"","15-Mar-17","11/09/2016",185,130,120,"Vachellia",424,"low"
296,"h3_1","3 month",1,"b2","comcol","Combretum_collinum","2 months post",1,"",80,80,NA,NA,NA,1,"","15-Mar-17","16/09/2016",180,125,120,"Combretum",521,"low"
297,"h3_1","3 month",1,"b3","comher","Combretum_hereroense","2 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","10/09/2016",186,131,120,"Combretum",608.5,"med"
298,"h3_1","3 month",1,"b4","vacexu","Vachellia_exuvialis","2 months post",1,"",280,400,NA,NA,17,2,"","15-Mar-17","11/09/2016",185,130,120,"Vachellia",631,"med"
299,"h3_1","3 month",1,"b5","vackar","Vachellia_karroo(rbay)","2 months post",1,"",320,320,NA,NA,14,1,"","15-Mar-17","16/09/2016",180,125,120,"Vachellia",693,"med"
300,"h3_1","3 month",1,"b6","comher","Combretum_hereroense","2 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","10/09/2016",186,131,120,"Combretum",608.5,"med"
301,"h3_1","3 month",1,"c1","sennig","Senegalia_nigrescens","2 months post",1,"",200,330,NA,NA,2,2,"","15-Mar-17","08/09/2016",188,133,120,"Senegalia",673.5,"med"
302,"h3_1","3 month",1,"c2","vacdav","Vachellia_davyi","2 months post",1,"",160,210,NA,NA,6,2,"","15-Mar-17","12/09/2016",184,129,120,"Vachellia",891,"high"
304,"h3_1","3 month",1,"c4","comcol","Combretum_collinum","2 months post",1,"",30,30,NA,NA,NA,1,"","15-Mar-17","16/09/2016",180,125,120,"Combretum",521,"low"
305,"h3_1","3 month",1,"c5","comapi","Combretum_apiculatum","2 months post",1,"",40,40,NA,NA,NA,1,"","15-Mar-17","12/09/2016",184,129,120,"Combretum",618,"med"
306,"h3_1","3 month",1,"c6","colmop","Colophospermum_mopane","2 months post",1,"",220,360,NA,NA,NA,2,"","15-Mar-17","06/09/2016",190,135,120,"Colophospermum",478.5,"low"
307,"h3_1","1 month",1,"d1","senmel","Senegalia_mellifera","2 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","20/10/2016",146,91,60,"Senegalia",546,"low"
308,"h3_1","3 month",1,"d2","vacexu","Vachellia_exuvialis","2 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","11/09/2016",185,130,120,"Vachellia",631,"med"
309,"h3_1","3 month",1,"d3","vackar","Vachellia_karroo(rbay)","2 months post",1,"",65,115,NA,NA,6,2,"","15-Mar-17","16/09/2016",180,125,120,"Vachellia",693,"med"
310,"h3_1","3 month",1,"d4","colmop","Colophospermum_mopane","2 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","06/09/2016",190,135,120,"Colophospermum",478.5,"low"
311,"h3_1","3 month",1,"d5","vacsie","Vachellia_sieberiana","2 months post",1,"",200,200,NA,NA,NA,1,"","15-Mar-17","17/09/2016",179,124,120,"Vachellia",984,"high"
312,"h3_1","3 month",1,"d6","sennig","Senegalia_nigrescens","2 months post",1,"",210,390,NA,NA,13,2,"","15-Mar-17","08/09/2016",188,133,120,"Senegalia",673.5,"med"
313,"h3_1","3 month",1,"e1","vacsie","Vachellia_sieberiana","2 months post",1,"",260,490,NA,NA,4,2,"","15-Mar-17","17/09/2016",179,124,120,"Vachellia",984,"high"
314,"h3_1","3 month",1,"e2","vacdav","Vachellia_davyi","2 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","12/09/2016",184,129,120,"Vachellia",891,"high"
315,"h3_1","3 month",1,"e3","commol","Combretum_molle","2 months post",1,"",100,100,NA,NA,NA,1,"","15-Mar-17","16/09/2016",180,125,120,"Combretum",850,"high"
316,"h3_1","3 month",1,"e4","sennig","Senegalia_nigrescens","2 months post",1,"",290,340,NA,NA,5,2,"","15-Mar-17","08/09/2016",188,133,120,"Senegalia",673.5,"med"
317,"h3_1","3 month",1,"e5","vacexu","Vachellia_exuvialis","2 months post",1,"",120,205,NA,NA,7,2,"","15-Mar-17","11/09/2016",185,130,120,"Vachellia",631,"med"
318,"h3_1","3 month",1,"e6","commol","Combretum_molle","2 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","16/09/2016",180,125,120,"Combretum",850,"high"
319,"h3_1","3 month",1,"f1","comcol","Combretum_collinum","2 months post",1,"",30,30,NA,NA,NA,1,"","15-Mar-17","16/09/2016",180,125,120,"Combretum",521,"low"
320,"h3_1","3 month",1,"f2","comher","Combretum_hereroense","2 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","10/09/2016",186,131,120,"Combretum",608.5,"med"
321,"h3_1","3 month",1,"f3","vaceri","Vachellia_erioloba","2 months post",1,"",175,245,NA,NA,9,2,"","15-Mar-17","11/09/2016",185,130,120,"Vachellia",424,"low"
322,"h3_1","1 month",1,"F4","sencaf","Senegalia_caffra","2 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","29/10/2016",137,82,60,"Senegalia",829.5,"high"
323,"h3_1","3 month",1,"f5","comher","Combretum_hereroense","2 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","10/09/2016",186,131,120,"Combretum",608.5,"med"
324,"h3_1","3 month",1,"f6","vaceri","Vachellia_erioloba","2 months post",1,"",110,195,NA,NA,5,2,"","15-Mar-17","11/09/2016",185,130,120,"Vachellia",424,"low"
325,"h3_1","2 month",1,"g1","senmel","Senegalia_mellifera","1 month post",1,"",20,20,NA,NA,NA,1,"","15-Mar-17","20/10/2016",146,126,90,"Senegalia",546,"low"
326,"h3_1","2 month",1,"g2","senmel","Senegalia_mellifera","1 month post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","20/10/2016",146,126,90,"Senegalia",546,"low"
327,"h3_1","3 month",1,"g3","vacsie","Vachellia_sieberiana","2 months post",1,"",380,1130,NA,NA,NA,4,"","15-Mar-17","17/09/2016",179,124,120,"Vachellia",984,"high"
328,"h3_1","3 month",1,"g4","vackar","Vachellia_karroo(rbay)","2 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","16/09/2016",180,125,120,"Vachellia",693,"med"
329,"h3_1","3 month",1,"g5","comcol","Combretum_collinum","2 months post",1,"",100,100,NA,NA,23,1,"","15-Mar-17","16/09/2016",180,125,120,"Combretum",521,"low"
330,"h3_1","3 month",1,"g6","vacdav","Vachellia_davyi","2 months post",1,"",30,30,NA,NA,NA,1,"","15-Mar-17","12/09/2016",184,129,120,"Vachellia",891,"high"
331,"h3_1","3 month",1,"h1","vacexu","Vachellia_exuvialis","2 months post",1,"",75,210,NA,NA,6,3,"","15-Mar-17","11/09/2016",185,130,120,"Vachellia",631,"med"
332,"h3_1","3 month",1,"h2","sennig","Senegalia_nigrescens","2 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","08/09/2016",188,133,120,"Senegalia",673.5,"med"
333,"h3_1","2 month",1,"h3","sencaf","Senegalia_caffra","1 month post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","29/10/2016",137,117,90,"Senegalia",829.5,"high"
334,"h3_1","3 month",1,"h4","colmop","Colophospermum_mopane","2 months post",1,"",240,240,NA,NA,NA,1,"","15-Mar-17","06/09/2016",190,135,120,"Colophospermum",478.5,"low"
335,"h3_1","3 month",1,"h5","vackar","Vachellia_karroo(rbay)","2 months post",1,"",250,430,NA,NA,12,2,"","15-Mar-17","16/09/2016",180,125,120,"Vachellia",693,"med"
336,"h3_1","1 month",1,"h6","senmel","Senegalia_mellifera","2 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","20/10/2016",146,91,60,"Senegalia",546,"low"
337,"h3_2","3 month",2,"a1","vaceri","Vachellia_erioloba","2 months post",1,"",180,180,NA,NA,13,1,"","15-Mar-17","11/09/2016",185,130,120,"Vachellia",424,"low"
338,"h3_2","3 month",2,"a2","comcol","Combretum_collinum","2 months post",1,"",50,50,NA,NA,NA,1,"","15-Mar-17","16/09/2016",180,125,120,"Combretum",521,"low"
339,"h3_2","3 month",2,"a3","vaceri","Vachellia_erioloba","2 months post",1,"",220,310,NA,NA,8,2,"","15-Mar-17","11/09/2016",185,130,120,"Vachellia",424,"low"
340,"h3_2","3 month",2,"a4","vacexu","Vachellia_exuvialis","2 months post",1,"",200,620,NA,NA,7,3,"","15-Mar-17","11/09/2016",185,130,120,"Vachellia",631,"med"
